,nofit,onefit,manyfit
0,1W5U0,,4R8C0
1,1W5U0,,4R8C0
2,1W5U0,,4R8C0
3,1W5U0,,4R8C0
4,1W5U0,,4R8C0
5,1W5U0,,4R8C0
6,1W5U0,,3KDP0
7,1W5U0,,3KDP0
8,1W5U0,,3KDP0
9,1W5U0,,3KDP0
10,1W5U0,,3KDP0
11,1W5U0,,3KDP0
12,1W5U0,,2HFE0
13,1W5U0,,2HFE0
14,,,2HFE0
15,,,2HFE0
16,,,2HFE0
17,,,2DWE0
18,,,2DWE0
19,,,2DWE0
20,,,4IBL0
21,,,4IBL0
22,,,4IBL0
23,,,4IBL0
24,,,4IBL0
25,,,4IBL0
26,,,5AW80
27,,,5AW80
28,,,5AW80
29,,,4NGJ0
30,,,3FB80
31,,,3FB80
32,,,3FB80
33,,,3FB80
34,,,1SX20
35,,,1SX20
36,,,1SX20
37,,,1SX20
38,,,1SX20
39,,,3FB70
40,,,3FB70
41,,,3FB70
42,,,3FB70
43,,,1SWZ0
44,,,1SWZ0
45,,,1SWZ0
46,,,1SWZ0
47,,,1SWZ0
48,,,3C340
49,,,3C340
50,,,3C340
51,,,3C340
52,,,3C340
53,,,3C340
54,,,4JCA0
55,,,6F3Q0
56,,,6F3Q0
57,,,6F3Q0
58,,,6F3Q0
59,,,6F3Q0
60,,,1R3I0
61,,,1R3I0
62,,,1R3I0
63,,,1R3I0
64,,,1X2W0
65,,,1X2W0
66,,,6BPG0
67,,,6BPG0
68,,,6BPG0
69,,,6BPG0
70,,,6BPG0
71,,,6BPG0
72,,,6BPG0
73,,,6BPG0
74,,,6BPG0
75,,,6BPG0
76,,,6BPG0
77,,,6BPG0
78,,,6BPG0
79,,,6BPG0
80,,,6BPG0
81,,,6BPG0
82,,,6JXI0
83,,,6JXI0
84,,,6JXI0
85,,,6JXI0
86,,,6JXI0
87,,,6JXI0
88,,,5YLV0
89,,,5YLV0
90,,,5YLV0
91,,,2GJ90
92,,,2GJ90
93,,,2GJ90
94,,,2GJ90
95,,,4NGI0
96,,,3MKU0
97,,,3MKU0
98,,,5YCK0
99,,,5YCK0
100,,,3B8E0
101,,,3B8E0
102,,,3B8E0
103,,,3B8E0
104,,,3B8E0
105,,,3B8E0
106,,,1JVM0
107,,,1JVM0
108,,,1JVM0
109,,,3E8B0
110,,,3E8B0
111,,,3E8B0
112,,,3E8B0
113,,,3E8B0
114,,,3E8B0
115,,,3E8B0
116,,,3E8B0
117,,,3E8B0
118,,,3E8B0
119,,,3E8B0
120,,,4Z3P0
121,,,6ARL0
122,,,6ARL0
123,,,6ARL0
124,,,6ARL0
125,,,6ARL0
126,,,6ARL0
127,,,6ARL0
128,,,6ARL0
129,,,6ARL0
130,,,6ARL0
131,,,6ARL0
132,,,6ARL0
133,,,6ARL0
134,,,1HXE0
135,,,1HXE0
136,,,4ILB0
137,,,1SWY0
138,,,1SWY0
139,,,1SWY0
140,,,1SWY0
141,,,1SWY0
142,,,1NHH0
143,,,6HD90
144,,,6JXJ0
145,,,6JXJ0
146,,,6JXJ0
147,,,6JXJ0
148,,,6JXJ0
149,,,6JXJ0
150,,,6JXJ0
151,,,6JXJ0
152,,,5AW70
153,,,1UD50
154,,,1UD50
155,,,1UD50
156,,,1UD50
157,,,1UD50
158,,,1UD50
159,,,4PDM0
160,,,4PDM0
161,,,4PDM0
162,,,4PDM0
163,,,4PDM0
164,,,4PDM0
165,,,6ARG0
166,,,6ARG0
167,,,6ARG0
168,,,6ARG0
169,,,6ARG0
170,,,6ARG0
171,,,6ARG0
172,,,6ARG0
173,,,6ARG0
174,,,6ARG0
175,,,6ARG0
176,,,6ARG0
177,,,6ARG0
178,,,1SX70
179,,,1SX70
180,,,1SX70
181,,,1SX70
182,,,1SX70
183,,,3HWB0
184,,,3HWB0
185,,,3HWB0
186,,,3HWB0
187,,,3HWB0
188,,,3HWB0
189,,,3HWB0
190,,,3HWB0
191,,,3HWB0
192,,,3HWB0
193,,,3HWB0
194,,,3HWB0
195,,,3HWB0
196,,,3HWB0
197,,,3HWB0
198,,,3HWB0
199,,,3HWB0
200,,,3HWB0
201,,,3HWB0
202,,,2R350
