,nofit,onefit,manyfit
0,,,1FPK0
1,,,1FPK0
2,,,1FPK0
3,,,1FPK0
4,,,1FPK0
5,,,1FPK0
6,,,2DWD0
7,,,2DWD0
8,,,2DWD0
9,,,2DWD0
10,,,5AVU0
11,,,5AW30
12,,,5AW30
13,,,4CZA0
14,,,4CZA0
15,,,5AVZ0
16,,,5AVZ0
17,,,4P1A0
18,,,4P1A0
19,,,4P1A0
20,,,4P1A0
21,,,4P1A0
22,,,4P1A0
23,,,5AVT0
24,,,5AVX0
25,,,5AVX0
26,,,5AVV0
27,,,5AVV0
28,,,2BOB0
29,,,1NV40
30,,,1NV40
31,,,1NV40
32,,,1NV30
33,,,1NV30
34,,,1NV30
35,,,1NV30
36,,,4P6H0
37,,,4P6H0
38,,,4P6H0
39,,,4P6H0
40,,,4P6H0
41,,,4P6H0
42,,,5AW10
43,,,1R3K0
44,,,1R3K0
45,,,1R3K0
46,,,1R3J0
47,,,1R3J0
48,,,1R3J0
49,,,1R3J0
50,,,1R3J0
51,,,4WFH0
52,,,4WFH0
53,,,4WFH0
54,,,4WFH0
55,,,4WFH0
56,,,4WFH0
57,,,4WFH0
58,,,5AVS0
59,,,1LQO0
60,,,1LQO0
61,,,1LQO0
62,,,1LQO0
63,,,1LQO0
64,,,1LQO0
65,,,5AVY0
66,,,5AVY0
67,,,5AW20
68,,,5AW20
69,,,5AVW0
70,,,5AVW0
71,,,1FPL0
72,,,1FPL0
73,,,1FPL0
74,,,1FPL0
75,,,1FPL0
76,,,1FPL0
77,,,1F1H0
78,,,1F1H0
79,,,1F1H0
80,,,1F1H0
81,,,1F1H0
82,,,1F1H0
83,,,1F1H0
84,,,1F1H0
85,,,1F1H0
86,,,1F1H0
87,,,1F1H0
88,,,1F1H0
89,,,1F1H0
90,,,1F1H0
91,,,1F1H0
92,,,1F1H0
93,,,1F1H0
94,,,1F1H0
95,,,1F1H0
96,,,1F1H0
97,,,1F1H0
98,,,1F1H0
99,,,1F1H0
100,,,1F1H0
101,,,4WFG0
102,,,4WFG0
103,,,4WFG0
104,,,4WFG0
105,,,4WFG0
106,,,4WFG0
107,,,4WFG0
108,,,4WFG0
109,,,1NV60
110,,,1NV60
111,,,1NV60
112,,,1NV60
113,,,1NV60
114,,,1FPJ0
115,,,1FPJ0
116,,,1FPJ0
117,,,1FPJ0
118,,,1NV00
119,,,5AW00
120,,,5AW00
121,,,2BOC0
122,,,2BOC0
123,,,2BOC0
124,,,2BOC0
125,,,3E760
126,,,3E760
127,,,3E760
128,,,3E760
129,,,3E760
130,,,3E760
131,,,3E760
132,,,3E760
133,,,3E760
134,,,3E760
135,,,3E760
136,,,3E760
137,,,3E760
138,,,3E760
139,,,3E760
140,,,3E760
141,,,3E760
142,,,3E760
143,,,3E760
144,,,3E760
145,,,3E760
146,,,3E760
147,,,3E760
148,,,3E760
149,,,3E760
150,,,3E760
151,,,3E760
152,,,3E760
153,,,3E760
154,,,3E760
155,,,3E760
156,,,3E760
157,,,3E760
158,,,3E760
159,,,3E760
160,,,3E760
161,,,3E760
162,,,3E760
163,,,3E760
164,,,3E760
165,,,3E760
166,,,3E760
167,,,3E760
168,,,3E760
169,,,3E760
170,,,3E760
171,,,2YNJ0
172,,,2YNJ0
173,,,2YNJ0
174,,,2YNJ0
175,,,2YNJ0
176,,,2YNJ0
177,,,2YNJ0
178,,,2YNJ0
179,,,2YNJ0
180,,,2YNJ0
181,,,2YNJ0
182,,,2YNJ0
183,,,2YNJ0
184,,,2YNJ0
185,,,2YNJ0
186,,,2YNJ0
187,,,2YNJ0
188,,,2YNJ0
189,,,2YNJ0
190,,,2YNJ0
191,,,2YNJ0
192,,,2YNJ0
193,,,2YNJ0
194,,,2YNJ0
195,,,2YNJ0
196,,,2YNJ0
197,,,2YNJ0
198,,,2YNJ0
199,,,2YNJ0
200,,,2YNJ0
201,,,2YNJ0
202,,,2YNJ0
203,,,2YNJ0
204,,,2YNJ0
205,,,2YNJ0
206,,,2YNJ0
207,,,2YNJ0
208,,,2YNJ0
209,,,2YNJ0
210,,,2YNJ0
211,,,2YNJ0
212,,,2YNJ0
213,,,2YNJ0
214,,,2YNJ0
215,,,2YNJ0
216,,,2YNJ0
217,,,2YNJ0
218,,,2YNJ0
219,,,2YNJ0
220,,,2YNJ0
221,,,2YNJ0
222,,,2YNJ0
223,,,2YNJ0
224,,,2YNJ0
225,,,2YNJ0
226,,,2YNJ0
227,,,1NV70
228,,,1NV70
229,,,1NV70
230,,,1NV70
231,,,1NV70
232,,,1NV70
233,,,1NV70
234,,,1NV70
235,,,1NV50
236,,,1NV50
237,,,1NV50
238,,,1NV50
239,,,1NV10
240,,,1NV10
241,,,1NV10
242,,,1NV10
243,,,1NV20
244,,,1NV20
245,,,1NV20
246,,,1NV20
