,nofit,onefit,manyfit
0,2EC90,2EC90,3WC30
1,2EC90,2EC90,6EUI0
2,6JJA0,2A2Q0,2PTC0
3,1XYS0,2C2H0,1ELB0
4,1XYS0,3E8L0,1LPK0
5,1DFL0,2B8O0,1GNH0
6,1DFL0,4B0P0,1GNH0
7,5CWF0,4O030,1GNH0
8,5CWF0,3ECT0,1GNH0
9,5CBG0,6BWJ0,1GNH0
10,6DWR0,5GXP0,1GNH0
11,1AIN0,,1GNH0
12,1AIN0,,1GNH0
13,1AIN0,,1GNH0
14,1AIN0,,1GNH0
15,1AIN0,,1GNH0
16,1AIN0,,1GNH0
17,1DFK0,,1GNH0
18,3E8L0,,1GNH0
19,2B8O0,,1GNH0
20,2HN20,,1GNH0
21,1DEG0,,4N2Z0
22,1DEG0,,4TR20
23,1DEG0,,4TR20
24,1DEG0,,4TR20
25,6DEC0,,4TR20
26,6DEC0,,4TR20
27,6DEC0,,4TR20
28,6V010,,4TR20
29,6V010,,4TR20
30,6V010,,5ZCB0
31,6V010,,5ZCB0
32,6V010,,5ZCB0
33,6V010,,5NXL0
34,6V010,,5NXL0
35,6V010,,4ETO0
36,1BTX0,,4ETO0
37,3GZT0,,4ETO0
38,5GXP0,,4ETO0
39,5GXP0,,4E560
40,6BWM0,,4E560
41,,,5XMZ0
42,,,3FF80
43,,,3FF80
44,,,3FF80
45,,,1SFV0
46,,,1D6U0
47,,,1D6U0
48,,,1D6U0
49,,,1D6U0
50,,,4IL10
51,,,4IL10
52,,,4IL10
53,,,4IL10
54,,,4IL10
55,,,4IL10
56,,,4IL10
57,,,4IL10
58,,,4IL10
59,,,4IL10
60,,,4IL10
61,,,4IL10
62,,,4IL10
63,,,4IL10
64,,,4IL10
65,,,4IL10
66,,,4GUK0
67,,,4GUK0
68,,,4GUK0
69,,,4GUK0
70,,,4GUK0
71,,,4GUK0
72,,,4GUK0
73,,,4GUK0
74,,,4GUK0
75,,,4GUK0
76,,,4GUK0
77,,,4GUK0
78,,,3EAD0
79,,,3EAD0
80,,,3EAD0
81,,,3EAD0
82,,,3EAD0
83,,,3EAD0
84,,,3EAD0
85,,,3EAD0
86,,,3EAD0
87,,,3EAD0
88,,,3EAD0
89,,,3EAD0
90,,,3EAD0
91,,,3EAD0
92,,,3EAD0
93,,,3EAD0
94,,,4CC10
95,,,4CC10
96,,,4N940
97,,,4N940
98,,,1AYP0
99,,,1AYP0
100,,,1AYP0
