,nofit,onefit,manyfit
0,,,3BZ40
1,,,2Z5Q0
2,,,2Z5Q0
3,,,2Z5Q0
4,,,2Z5Q0
5,,,2Z5Q0
6,,,2Z5Q0
7,,,2Z5Q0
8,,,2Z5Q0
9,,,2Z5Q0
10,,,2Z5P0
11,,,2Z5P0
12,,,2Z5P0
13,,,2Z5P0
14,,,2Z5P0
15,,,2Z5P0
16,,,3FI60
17,,,3FI60
18,,,3FI60
19,,,3FI60
20,,,3FI60
21,,,3FI60
22,,,3FI60
23,,,3FI60
24,,,3NP20
25,,,3NP20
26,,,5YHB0
27,,,5YHB0
28,,,5YHB0
29,,,5YHB0
30,,,5YHB0
31,,,5YHB0
32,,,5YHB0
33,,,5E2D0
34,,,3AF70
35,,,3AF70
36,,,3AF90
37,,,6GOI0
38,,,6GOI0
39,,,4Q9X0
40,,,4Q9X0
41,,,4Q9X0
42,,,4Q9X0
43,,,4Q9X0
44,,,4Q9X0
45,,,4Q9X0
46,,,4Q9X0
47,,,3C6S0
48,,,6GOB0
49,,,6GOB0
50,,,6GOK0
51,,,6GOK0
52,,,5HQO0
53,,,5HQO0
54,,,2ZG80
55,,,5YHA0
56,,,5YHA0
57,,,5YHA0
58,,,5YHA0
59,,,5YHA0
60,,,2Z5R0
61,,,2Z5R0
62,,,2Z5R0
63,,,2Z5R0
64,,,2Z5R0
65,,,2Z5R0
66,,,2Z5R0
67,,,2Z5R0
68,,,2Z5R0
69,,,2Z5R0
