,nofit,onefit,manyfit
0,,,1LM29
1,,,1LM23
2,,,1LM218
3,,,1LM222
4,,,1LM227
5,,,1LM24
6,,,1LM213
7,,,1LM214
8,,,1LM231
9,,,1LM25
10,,,1LM223
11,,,1LM232
12,,,1LM20
13,,,1LM215
14,,,1LM210
15,,,1LM233
16,,,1LM219
17,,,1LM26
18,,,1LM21
19,,,1LM224
20,,,1LM211
21,,,1LM27
22,,,1LM228
23,,,1LM234
24,,,1LM220
25,,,1LM225
26,,,1LM229
27,,,1LM216
28,,,1LM22
29,,,1LM28
30,,,1LM212
31,,,1LM217
32,,,1LM221
33,,,1LM226
34,,,1LM230
35,,,1SM80
36,,,1SM80
37,,,1SM80
38,,,6NDC0
39,,,6NDC0
40,,,6NDC0
41,,,6NDC0
42,,,6NDC0
43,,,6NDC0
44,,,1J3F0
