,nofit,onefit,manyfit
0,,,1KSM0
1,,,1NKF2
2,,,1NKF15
3,,,1NKF22
4,,,1NKF16
5,,,1NKF3
6,,,1NKF17
7,,,1NKF23
8,,,1NKF18
9,,,1NKF4
10,,,1NKF19
11,,,1NKF24
12,,,1NKF20
13,,,1NKF5
14,,,1NKF0
15,,,1NKF25
16,,,1NKF21
17,,,1NKF26
18,,,1NKF1
19,,,1NKF6
20,,,1NKF7
21,,,1NKF27
22,,,1NKF8
23,,,1NKF9
24,,,1NKF10
25,,,1NKF28
26,,,1NKF11
27,,,1NKF12
28,,,1NKF13
29,,,1NKF29
30,,,1NKF14
31,,,2K0J0
32,,,2I180
33,,,2I181
34,,,2I1813
35,,,2I182
36,,,2I1814
37,,,2I1815
38,,,2I183
39,,,2I184
40,,,2I185
41,,,2I186
42,,,2I187
43,,,2I188
44,,,2I189
45,,,2I1810
46,,,2I1811
47,,,2I1812
48,,,2OQR0
49,,,2OQR0
50,,,2OQR0
51,,,2OQR0
52,,,2OQR0
53,,,6DAM0
54,,,1KQV6
55,,,1KQV26
56,,,1KQV7
57,,,1KQV27
58,,,1KQV17
59,,,1KQV8
60,,,1KQV9
61,,,1KQV18
62,,,1KQV28
63,,,1KQV29
64,,,1KQV10
65,,,1KQV23
66,,,1KQV19
67,,,1KQV1
68,,,1KQV11
69,,,1KQV2
70,,,1KQV12
71,,,1KQV3
72,,,1KQV20
73,,,1KQV24
74,,,1KQV21
75,,,1KQV15
76,,,1KQV13
77,,,1KQV4
78,,,1KQV0
79,,,1KQV16
80,,,1KQV22
81,,,1KQV25
82,,,1KQV14
83,,,1KQV5
84,,,5KKB0
85,,,5KKB0
86,,,6IP90
87,,,6HVQ0
88,,,6HVQ0
89,,,6HVQ0
90,,,6HVQ0
91,,,6HVQ0
92,,,6HVQ0
93,,,6HVQ0
94,,,6HVQ0
95,,,6HVQ0
96,,,6HVQ0
97,,,6HVQ0
98,,,6HVQ0
99,,,6HVQ0
100,,,6HVQ0
101,,,6HVQ0
102,,,6HVQ0
103,,,6HVQ0
104,,,6HVQ0
105,,,6HVQ0
106,,,6HVQ0
107,,,6HVQ0
108,,,6HVQ0
109,,,6HVQ0
110,,,6HVQ0
111,,,6HVQ0
112,,,6HVQ0
113,,,6HVQ0
114,,,6HVQ0
115,,,6HVQ0
116,,,6HVQ0
117,,,6HVQ0
118,,,6HVQ0
119,,,6HVQ0
120,,,6HVQ0
121,,,6HVQ0
122,,,6HVQ0
123,,,6HVQ0
124,,,6HVQ0
125,,,6HVQ0
126,,,6HVQ0
127,,,6HVQ0
128,,,6HVQ0
129,,,6HVQ0
130,,,6HVQ0
131,,,6HVQ0
132,,,6HVQ0
133,,,6HVQ0
134,,,6HVQ0
135,,,6HVQ0
136,,,6HVQ0
137,,,5YTQ0
138,,,5YTQ0
139,,,5YTQ0
140,,,5YTQ0
141,,,5YTQ0
142,,,2RPV16
143,,,2RPV17
144,,,2RPV4
145,,,2RPV5
146,,,2RPV18
147,,,2RPV6
148,,,2RPV19
149,,,2RPV7
150,,,2RPV8
151,,,2RPV9
152,,,2RPV10
153,,,2RPV11
154,,,2RPV0
155,,,2RPV12
156,,,2RPV13
157,,,2RPV1
158,,,2RPV14
159,,,2RPV2
160,,,2RPV15
161,,,2RPV3
162,,,5KIJ0
