,nofit,onefit,manyfit
0,4LGN0,6BCJ0,6G3R0
1,3HWF0,4A410,6G3R0
2,6FHD0,6BWI0,3WC30
3,5JDS0,4IS90,2GN00
4,4EIF0,6AEI0,2GN00
5,4IVH0,6G2U0,2GN01
6,5EMG0,6G2U0,2GN01
7,5EMG0,6G2U0,2ZIK0
8,5EMG0,1XUI0,4U440
9,5EMG0,2Q680,4LYI0
10,5EMG0,5Z960,5IH20
11,4P940,2EPF0,5IH20
12,3J4P0,5O6Y0,5IH20
13,3L8L0,5O6Y0,5IH20
14,3L8L0,2DB40,5E3E0
15,3L8L0,2DB40,5E3E0
16,3L8L0,2DB40,5KQN0
17,3K080,2DB40,5KQN0
18,3K080,2DB40,4EPI0
19,3MQH0,2DB40,4EPI0
20,3MQH0,2DB40,4EPI0
21,4K7T0,2DB40,4EPI0
22,2Q670,2DB40,4HES0
23,2Q690,2DB40,4HES0
24,4J6W0,,4HES0
25,2XDC0,,3S9J0
26,5ZCK0,,3S9J0
27,4J5Y0,,3S9J0
28,4J5Y0,,3B1Q0
29,4UBZ0,,3B1Q0
30,2YGJ0,,3B1Q0
31,2YGJ0,,3B1Q0
32,4RU50,,3B1Q0
33,6PBK0,,3B1Q0
34,6PBK0,,3B1Q0
35,1OB70,,3B1Q0
36,6CPV0,,3B1Q0
37,2XJH0,,3B1Q0
38,2XJH0,,3B1Q0
39,2XJH0,,3B1Q0
40,3MQG0,,3B1Q0
41,3MQG0,,3B1Q0
42,4XOJ0,,3B1Q0
43,3SZS0,,6Q8S0
44,5MRT0,,4GUK0
45,5V640,,4GUK0
46,5V640,,4GUK0
47,4UFQ0,,4GUK0
48,4EIE0,,4WLY0
49,1HHY0,,1V8Z0
50,1HHY0,,1V8Z0
51,,,1V8Z0
52,,,4PU50
53,,,6HSN0
54,,,5NA60
55,,,2CKS0
56,,,2CKS0
57,,,2CKS0
58,,,2CKS0
59,,,5LVH0
60,,,4BRS0
61,,,4BRS0
62,,,4BRS0
63,,,5HTC0
64,,,1V6S0
65,,,1V6S0
66,,,1V6S0
67,,,4ADB0
68,,,4ADB0
69,,,4ADB0
70,,,4ADB0
71,,,3ASS0
72,,,3ASS0
73,,,4BAH0
74,,,4BAH0
75,,,4KTB0
76,,,6J8E0
77,,,5IMD0
78,,,5IMD0
79,,,1G1S0
80,,,1G1S0
81,,,4EAB0
82,,,4MPY0
83,,,4MPY0
84,,,4MPY0
85,,,4MPY0
86,,,4MPY0
87,,,4MPY0
88,,,4MPY0
89,,,4MPY0
90,,,4MPY0
91,,,4MPY0
92,,,4MPY0
93,,,4MPY0
94,,,4MPY0
95,,,4MPY0
96,,,4MPY0
97,,,4MPY0
98,,,4MPY0
99,,,4MPY0
100,,,4MPY0
101,,,6G580
102,,,6G580
103,,,6G580
104,,,6G580
105,,,6G580
106,,,6G580
107,,,4H7O0
108,,,6I3J0
109,,,6I3J0
110,,,6I3J0
111,,,6I3J0
112,,,6I3J0
113,,,6I3J0
114,,,6I3J0
115,,,6I3J0
116,,,3TAU0
117,,,4O570
118,,,5PRX0
119,,,5PQA0
120,,,2IC00
121,,,6OU20
122,,,4ZG30
123,,,4ZG30
124,,,4ZG30
125,,,4ZG30
126,,,4ZG30
127,,,4ZG30
128,,,1HZY0
129,,,1HZY0
130,,,2QZ70
131,,,2QZ70
132,,,2QZ70
133,,,2QZ70
134,,,2QZ70
135,,,2QZ70
136,,,2QZ70
137,,,4GYB0
138,,,4LGN0
139,,,4LGN0
140,,,4LGN0
141,,,4LGN0
142,,,4LGN0
143,,,4L7B0
144,,,1I0D0
145,,,1I0D0
146,,,5UJ60
147,,,5UJ60
