,nofit,onefit,manyfit
0,1HRB0,,3DSY0
1,1HRB0,,3RNG0
2,1HRB0,,3RNG0
3,1HRB0,,5LX10
4,1PYH0,,5LX10
5,1FE10,,3Q140
6,1FE10,,3Q140
7,1ILX0,,1OVB0
8,1ILX0,,1C090
9,1IZL0,,1C090
10,1IZL0,,1C090
11,,,3G770
12,,,4RB40
13,,,4RB40
14,,,4RB40
15,,,4RB40
16,,,4RB40
17,,,4RB40
18,,,4RB40
19,,,4RB40
20,,,4RB40
21,,,4RB40
22,,,4RB40
23,,,4RB40
24,,,4D4Z0
25,,,4D4Z0
26,,,4D4Z0
27,,,4D4Z0
28,,,3HWF0
29,,,3HWF0
30,,,3HWF0
31,,,4BFK0
32,,,4BFK0
33,,,4BFK0
34,,,4BFK0
35,,,3V5A0
36,,,1PO30
37,,,1PO30
38,,,1PO30
39,,,1PO30
40,,,3VPO0
41,,,3VPO0
42,,,1Y070
43,,,1Y070
44,,,1Y070
45,,,1Y070
46,,,1Y070
47,,,5YWH0
48,,,5YWH0
49,,,1HSE0
50,,,1FNP0
51,,,3MVY0
52,,,3MVY0
53,,,2PMS0
54,,,2PMS0
55,,,3CCG0
56,,,3CCG0
57,,,3BVL0
58,,,3BVL0
59,,,3BVL0
60,,,3BVL0
61,,,3BVL0
62,,,3BVL0
63,,,3BVL0
64,,,3BVL0
65,,,3BVL0
66,,,3BVL0
67,,,3BVL0
68,,,3BVL0
69,,,3BVL0
70,,,3BVL0
71,,,3BVL0
72,,,3BVL0
73,,,1RAK0
74,,,2HIT0
75,,,6OT80
76,,,3N1Z0
77,,,3N1Z0
78,,,4PGK0
79,,,4PGK0
80,,,5UDV0
81,,,5UDV0
82,,,1GUP0
83,,,1GUP0
84,,,1GUP0
85,,,1GUP0
86,,,2OGI0
87,,,2OGI0
88,,,2OGI0
89,,,2OGI0
90,,,2JI30
91,,,2JI30
92,,,2JI30
93,,,2JI30
94,,,2JI30
95,,,2JI30
96,,,2JI30
97,,,2JI30
98,,,5UX10
99,,,5UX10
100,,,5UX10
101,,,5UX10
102,,,5UX10
103,,,5UX10
104,,,5UX10
105,,,5UX10
106,,,3X200
107,,,3ZUW0
108,,,3GTE0
109,,,3GTE0
110,,,5YW00
111,,,3Q3N0
112,,,3Q3N0
113,,,1CAD0
114,,,1JW10
115,,,1JW10
116,,,5U570
117,,,5U570
118,,,5U570
119,,,5U570
120,,,5GUW0
121,,,5GUW0
122,,,4D8G0
123,,,4D8G0
124,,,4D8G0
125,,,4D8G0
126,,,4H9T0
127,,,4H9T0
128,,,5KOH0
129,,,5KOH0
130,,,5UX20
131,,,5UX20
132,,,5UX20
133,,,5UX20
134,,,4ERG0
135,,,4ERG0
136,,,2H4I0
137,,,5Y7R0
138,,,2HMK0
139,,,3FKG0
140,,,3FKG0
141,,,3FKG0
142,,,3U520
143,,,3U520
144,,,3U520
145,,,3U520
146,,,3IB20
147,,,3OGH0
148,,,3OGH0
149,,,5A5D0
150,,,3IB80
151,,,2ZPG0
152,,,3CR90
153,,,3CR90
154,,,2HTN0
155,,,2HTN0
156,,,2HTN0
157,,,2HTN0
158,,,2HTN0
159,,,2HTN0
160,,,2HTN0
161,,,2HTN0
162,,,2HTN0
163,,,2HTN0
164,,,2HTN0
165,,,2HTN0
166,,,2HTN0
167,,,2HTN0
168,,,2HTN0
169,,,2HTN0
170,,,3V830
171,,,3V830
172,,,3V830
173,,,3V830
174,,,3V830
175,,,3V830
176,,,3V830
177,,,3V830
178,,,3V830
179,,,3V830
180,,,3V830
181,,,3V830
182,,,5V4T0
183,,,5V4T0
184,,,4ORA0
185,,,2XZ00
186,,,2XZ00
187,,,2XZ00
188,,,2XZ00
189,,,2XZ00
190,,,2XZ00
191,,,3RGD0
192,,,3RGD0
193,,,3RGD0
194,,,3RGD0
195,,,3RGD0
196,,,3RGD0
197,,,3RGD0
198,,,3RGD0
199,,,3RGD0
200,,,3RGD0
201,,,3RGD0
202,,,3RGD0
203,,,3RGD0
204,,,3RGD0
205,,,3RGD0
206,,,3RGD0
207,,,3RGD0
208,,,3RGD0
209,,,3RGD0
210,,,3RGD0
211,,,3RGD0
212,,,3RGD0
213,,,3RGD0
214,,,3RGD0
215,,,3RGD0
216,,,3RGD0
217,,,3RGD0
218,,,3RGD0
219,,,3RGD0
220,,,3RGD0
221,,,3RGD0
222,,,3RGD0
223,,,3RGD0
224,,,3RGD0
225,,,3RGD0
226,,,3RGD0
227,,,3RGD0
228,,,3RGD0
229,,,3RGD0
230,,,3RGD0
231,,,3RGD0
232,,,3RGD0
233,,,3RGD0
234,,,3RGD0
235,,,3RGD0
236,,,3RGD0
237,,,3RGD0
238,,,3RGD0
239,,,3RGD0
240,,,3RGD0
241,,,3RGD0
242,,,3RGD0
243,,,3RGD0
244,,,3RGD0
245,,,3RGD0
246,,,3RGD0
247,,,3RGD0
248,,,3RGD0
249,,,3RGD0
250,,,3RGD0
251,,,3RGD0
252,,,3RGD0
253,,,1E6D0
254,,,3SDP0
255,,,3SDP0
256,,,5L8D0
257,,,6PAH0
258,,,2BI40
259,,,2BI40
260,,,5ZDR0
261,,,5ZDR0
262,,,5ZDR0
263,,,5ZDR0
264,,,5ZDR0
265,,,5ZDR0
266,,,5ZDR0
267,,,5ZDR0
268,,,1EG90
269,,,3X280
270,,,2BUU0
271,,,3KN80
272,,,5SVE0
273,,,4S1B0
274,,,4S1B0
275,,,4S1B0
276,,,4S1B0
277,,,3BNE0
278,,,1AOR0
279,,,1YKO0
280,,,1YKO0
281,,,1YKO0
282,,,1YKO0
283,,,1YKO0
284,,,1YKO0
285,,,1BK00
286,,,1O7G0
287,,,2P1I0
288,,,2P1I0
289,,,2P1I0
290,,,2P1I0
291,,,2P1I0
292,,,2P1I0
293,,,2P1I0
294,,,2P1I0
295,,,5OBA0
296,,,5OBA0
297,,,5OBA0
298,,,5OBA0
299,,,5OBA0
300,,,5OBA0
301,,,5OBA0
302,,,5OBA0
303,,,5OBA0
304,,,5OBA0
305,,,5OBA0
306,,,5OBA0
307,,,5OBA0
308,,,5OBA0
309,,,5OBA0
310,,,5OBA0
311,,,5OBA0
312,,,5OBA0
313,,,5OBA0
314,,,5OBA0
315,,,5OBA0
316,,,5OBA0
317,,,5OBA0
318,,,5OBA0
319,,,5OBA0
320,,,5OBA0
321,,,5OBA0
322,,,5OBA0
323,,,5OBA0
324,,,5OBA0
325,,,5OBA0
326,,,5OBA0
327,,,1RNR0
328,,,1RNR0
329,,,1RNR0
330,,,1RNR0
331,,,5RXN0
332,,,2BV00
333,,,2XZ10
334,,,2XZ10
335,,,2XZ10
336,,,2XZ10
337,,,6FWF0
338,,,4PJY0
339,,,3HHY0
340,,,1GVC0
341,,,3WAE0
342,,,3WAE0
343,,,4WQ40
344,,,4WQ40
345,,,1Y560
346,,,5LX70
347,,,3HC10
348,,,3HC10
349,,,4PIZ0
350,,,1SQ30
351,,,1SQ30
352,,,1SQ30
353,,,1SQ30
354,,,1SQ30
355,,,1SQ30
356,,,1SQ30
357,,,1SQ30
358,,,1SQ30
359,,,1SQ30
360,,,1SQ30
361,,,1SQ30
362,,,1SQ30
363,,,1SQ30
364,,,1SQ30
365,,,1SQ30
366,,,1SQ30
367,,,1SQ30
368,,,1SQ30
369,,,1SQ30
370,,,1SQ30
371,,,1SQ30
372,,,1SQ30
373,,,1SQ30
374,,,1SQ30
375,,,1SQ30
376,,,1SQ30
377,,,1SQ30
378,,,1SQ30
379,,,1SQ30
380,,,1SQ30
381,,,1SQ30
382,,,1SQ30
383,,,1SQ30
384,,,1SQ30
385,,,1SQ30
386,,,3R2S0
387,,,3R2S0
388,,,3R2S0
389,,,3R2S0
390,,,1PIU0
391,,,1PIU0
392,,,1PIU0
393,,,1PIU0
394,,,5UY40
395,,,3PED0
396,,,3PED0
397,,,3PED0
398,,,3R2M0
399,,,3R2M0
400,,,3R2M0
401,,,2Q8J0
402,,,1IK30
403,,,2O7U0
404,,,2O7U0
405,,,2O7U0
406,,,2O7U0
407,,,2O7U0
408,,,2O7U0
409,,,2O7U0
410,,,2O7U0
411,,,2O7U0
412,,,6CDK0
413,,,6CDK0
414,,,1TDW0
415,,,3HH80
416,,,2CW20
