,nofit,onefit,manyfit
0,5JDS0,2VJX0,3O0N0
1,1E8C0,5PAA0,3NRU0
2,5UHR0,5TIN0,3NRU0
3,3LNR0,6KKT0,4K390
4,4EIF0,4GUM0,4JL70
5,1C0R0,3FW40,4JL70
6,1C0R0,3FW40,4JL70
7,1C0R0,5HJ20,6R1H0
8,1W5U0,5EE30,5C330
9,1W5U0,4B0O0,5D0V0
10,1W5U0,3H6C0,5D0V0
11,1W5U0,3RIF0,5D0V0
12,1W5U0,4I2X0,5D0V0
13,1W5U0,4TNV0,1WE20
14,4GUM0,4TNV0,1WE20
15,5CGN0,6SO40,3O8M0
16,2G550,2JJD0,3O8M0
17,5EMG0,2JJD0,3O8M0
18,5EMG0,2JJD0,3O8M0
19,5EMG0,3ZU10,4MFD0
20,5EMG0,5SYM0,4MFD0
21,5EMG0,6G2U0,4MFD0
22,5EMG0,6G2U0,4MFD0
23,5EMG0,6G2U0,5JDL0
24,5EMG0,3T0P0,1YO00
25,5EMG0,6SOI0,5FWE0
26,5EMG0,3RIA0,5FWE0
27,5EMG0,4PMK0,6FZG0
28,5EMG0,5KH60,1YJX0
29,1C4D0,3RI50,1YJX0
30,1C4D0,5T2E0,1YJX0
31,1C4D0,2VJL0,1YJX0
32,1C4D0,2VJL0,1YJX0
33,1C4D0,3ZRS0,1YJX0
34,1C4D0,6KKU0,4GP30
35,5FKI0,6KKU0,4GP30
36,5FKI0,5VDH0,4GP30
37,5FKI0,6KKR0,4GP30
38,5FKI0,6KKR0,4GP30
39,5FKI0,4JKD0,4GP30
40,5FKI0,5TR90,4GP30
41,5FKI0,4JKH0,4GP30
42,5FKI0,5HA60,4GP30
43,5FKI0,4JK70,4GP30
44,5FKI0,2VJK0,4GP30
45,5FKI0,2VJK0,4GP30
46,5FKI0,5MAM0,4GP30
47,5FKI0,6EQP0,4GP30
48,5FKI0,5D9E0,4GP30
49,5FKI0,3SZS0,4GP30
50,5FKI0,1ZMK0,4GP30
51,5FKI0,3ITI0,4GP30
52,5FKI0,4JK80,1L0K0
53,5FKI0,,1L0K0
54,5FKI0,,3DNU0
55,5FKI0,,5QAA0
56,5FKI0,,5QAA0
57,5FKI0,,2AJF0
58,5FKI0,,2AJF0
59,5FKI0,,5QA50
60,5FKI0,,5QA50
61,5FKI0,,5QA50
62,5FKI0,,5SWK0
63,5FKI0,,5SWK0
