,nofit,onefit,manyfit
0,2A680,2A680,5K6J0
1,2A680,2A680,3O0N0
2,2A680,1SMY0,3O0N0
3,2A680,1SMY0,6G3R0
4,2A680,3SHY0,5GRE0
5,4UY00,4EV60,5GRE0
6,4UY00,5JTG0,4X0U0
7,5KW90,5W150,5PLG0
8,4H0I0,,6EZE0
9,1L9U0,,6EZE0
10,1L9U0,,5D0V0
11,6SC20,,5D0V0
12,6SC20,,5D0V0
13,4CK60,,5D0V0
14,4CK60,,5D0V0
15,4UXT0,,5D0V0
16,1DFL0,,5D0V0
17,1DFL0,,5D0V0
18,1DFL0,,1YFZ0
19,1DFL0,,1YFZ0
20,3J4P0,,1YFZ0
21,1PQV0,,1YFZ0
22,4UXS0,,1WE20
23,1EFM0,,4MFD0
24,5M5L0,,4MFD0
25,5M5L0,,4MFD0
26,5GPN0,,4MFD0
27,3JC90,,5XJA0
28,3JC90,,5XJA0
29,3JC90,,2YK00
30,3JC90,,2YK00
31,3JC90,,3SI70
32,3JC90,,3SI70
33,3JC90,,3SI70
34,3JC90,,3SI70
35,3JC90,,3SI70
36,3JC90,,3SI70
37,3JC90,,3SI70
38,3JC90,,3SI70
39,5LQX0,,2A6H0
40,5LQX0,,2A6H0
41,5LQX0,,3Q0G0
42,5LQX0,,3Q0G0
43,5LQX0,,4C5B0
44,5LQZ0,,4C5B0
45,5LQZ0,,4C5B0
46,5LQZ0,,4C5B0
47,5LQZ0,,4C5B0
48,5LQZ0,,4C5B0
49,2A690,,3S990
50,2A690,,1W250
51,2A690,,1W250
52,2A690,,6FSB0
53,2A690,,2AL70
54,6Q0T0,,5JLJ0
55,5OAM0,,5OYA0
56,4UXR0,,5OYA0
57,4UXR0,,5OYA0
58,1SMY0,,5OYA0
59,1SMY0,,5OYA0
60,1SMY0,,5OYA0
61,4UXY0,,5OYA0
62,6D4L0,,5OYA0
63,4CK50,,5OYA0
64,5OCU0,,5OYA0
65,5OCU0,,6MO40
66,2Z410,,4UFV0
67,4UXP0,,4UFV0
68,4UXP0,,4UFV0
69,5M5M0,,5WWD0
70,5M5M0,,5WWD0
71,4UXO0,,5WWD0
72,4FK90,,5WWD0
73,4EV60,,5WWD0
74,4EV60,,5WWD0
75,5A990,,3SYN0
76,4AQW0,,3SYN0
77,6D540,,3SYN0
78,6D540,,3SYN0
79,4CK70,,6CQL0
80,4CK70,,6CQL0
81,5M5O0,,6CQL0
82,5M5O0,,6BT10
83,1IW70,,6BT10
84,1IW70,,4ZDQ0
85,1IW70,,4ZDQ0
86,4AQV0,,3V3W0
87,4AQV0,,1EC80
88,5A7I0,,1EC80
89,5M5N0,,1EC80
90,5M5N0,,1EC80
91,5M5I0,,6APS0
92,5M5I0,,6APS0
93,6BWD0,,5OBJ0
94,5LQY0,,5OBJ0
95,5LQY0,,1DQV0
96,5LQY0,,1DQV0
97,5LQY0,,1DQV0
98,5LQY0,,1DQV0
99,6Q0J0,,6P2U0
100,6Q0J0,,4PU50
101,6NG30,,4PU50
102,2MYS0,,6HSN0
103,,,6HSN0
104,,,4OBP0
105,,,6E0W0
106,,,6E0W0
107,,,6E0W0
108,,,5VWA0
109,,,4BRS0
110,,,5L5W0
111,,,5L5W0
112,,,5L5W0
113,,,5L5W0
114,,,5L5W0
115,,,5L5W0
116,,,5L5W0
117,,,5L5W0
118,,,5L5W0
119,,,5L5W0
120,,,5L5W0
121,,,5L5W0
122,,,3OZM0
123,,,3OZM0
124,,,3OZM0
125,,,3OZM0
126,,,3OZM0
127,,,3OZM0
128,,,3OZM0
129,,,3OZM0
130,,,1RKQ0
131,,,1RKQ0
132,,,5WP90
133,,,5WP90
134,,,5WP90
135,,,5WP90
136,,,5WP90
137,,,5WP90
138,,,5WP90
139,,,5WP90
140,,,1IDE0
141,,,4ADB0
142,,,4ADB0
143,,,5L4G0
144,,,5L4G0
145,,,5L4G0
146,,,5L4G0
147,,,5L4G0
148,,,3WKA0
149,,,2R110
150,,,2ONE0
151,,,2ONE0
152,,,4ERI0
153,,,4LF20
154,,,4LF20
155,,,4LF20
156,,,4LF20
157,,,1SOF0
158,,,1SOF0
159,,,1SOF0
160,,,1SOF0
161,,,1SOF0
162,,,1SOF0
163,,,1SOF0
164,,,1SOF0
165,,,1SOF0
166,,,1SOF0
167,,,1NMP0
168,,,1NMP0
169,,,1NMP0
170,,,1NMP0
171,,,1NMP0
172,,,1NMP0
173,,,1NMP0
174,,,1NMP0
175,,,1NMP0
176,,,1NMP0
177,,,1NMP0
178,,,5M1M0
179,,,5M1M0
180,,,6OM20
181,,,6OM20
182,,,1JCT0
183,,,1JCT0
184,,,4V0M0
185,,,4V0M0
186,,,4V0M0
187,,,4V0M0
188,,,4ZX40
189,,,2BPH0
190,,,2BPH0
191,,,6IMO0
192,,,6IMO0
193,,,6IMO0
194,,,2OCL0
195,,,2BJ30
196,,,2BJ30
197,,,2I330
198,,,2I330
199,,,6CPU0
200,,,1NGA0
201,,,6K7L0
202,,,5HIF0
203,,,1KC30
204,,,5XLE0
205,,,4QG20
206,,,4QG20
207,,,4QG20
208,,,4QG20
209,,,1S9I0
210,,,1S9I0
211,,,3MG80
212,,,3MG80
213,,,3MG80
214,,,3MG80
215,,,3MG80
216,,,3MG80
217,,,3MG80
218,,,3MG80
219,,,3MG80
220,,,3MG80
221,,,4AT80
222,,,4AT80
223,,,3H0G0
