,nofit,onefit,manyfit
0,2X6C0,3LNM0,4F7I0
1,2X6C0,3LNM0,4F7I0
2,3OR60,3LUT0,4F7I0
3,2WLH0,2X6C0,4F7I0
4,1ORQ0,1ORQ0,4F7I0
5,2IZQ0,2ATK0,4F7I0
6,2IZQ0,1ZWI0,4F7I0
7,2IZQ0,2A790,3ZQO0
8,2IZQ0,3T1C0,3ZQO0
9,2IZQ0,3OR70,4Y020
10,2IZQ0,5WIE0,4Y020
11,2ATK0,5VK60,1TZ30
12,1GMK0,,1TZ30
13,1GMK0,,1TZ30
14,1GMK0,,1TZ30
15,1GMK0,,2C970
16,4GX50,,2C970
17,4GX50,,2C970
18,3T1C0,,2C970
19,3HPL0,,2C970
20,3K060,,2C970
21,3K060,,2C970
22,5VKE0,,2C970
23,,,2C970
24,,,2C970
25,,,2C970
26,,,2C970
27,,,2C970
28,,,2C970
29,,,2C970
30,,,2C970
31,,,1A3X0
32,,,1A3X0
33,,,5A2D0
34,,,5A2D0
35,,,5A2D0
36,,,5A2D0
37,,,2VDD0
38,,,2VDD0
39,,,2VDD0
40,,,5A5G0
41,,,5A5G0
42,,,5A5G0
43,,,5A5G0
44,,,6L320
45,,,6L320
46,,,6FIZ0
47,,,6FIZ0
48,,,6FIZ0
49,,,6FIZ0
50,,,6FIZ0
51,,,6FIZ0
52,,,6FIZ0
53,,,6FIZ0
54,,,6FIZ0
55,,,6FIZ0
56,,,6FIZ0
57,,,6FIZ0
58,,,6AQP0
59,,,6AQP0
60,,,6AQP0
61,,,6AQP0
62,,,6AQP0
63,,,6AQP0
64,,,6AQP0
65,,,6AQP0
66,,,6AQP0
67,,,6AQP0
68,,,6AQP0
69,,,6AQP0
70,,,1OLX0
71,,,1OLX0
72,,,4LGN0
73,,,4LGN0
74,,,4LGN0
75,,,2QKI0
76,,,2QKI0
77,,,2QKI0
78,,,2QKI0
79,,,2QKI0
80,,,1YXD0
81,,,1YXD0
82,,,4Y040
83,,,4Y040
84,,,3HQO0
85,,,3HQO0
86,,,3HQO0
87,,,3HQO0
88,,,3FWJ0
89,,,6R430
90,,,6JTB0
91,,,6JTB0
92,,,4TM00
93,,,4TM00
94,,,4TM00
95,,,4TM00
96,,,4TM00
97,,,4TM00
98,,,4TM00
99,,,4TM00
100,,,5WSC0
101,,,2LQD0
102,,,1RG90
103,,,1RG90
104,,,1RG90
105,,,1RG90
106,,,3K2R0
107,,,4CHV0
108,,,4CHV0
109,,,4MMK0
110,,,4MMK0
111,,,4MMK0
112,,,4MMK0
113,,,4MMK0
114,,,4MMK0
115,,,4MMK0
116,,,4MMK0
117,,,3QLA0
118,,,4TOG0
119,,,2IX40
120,,,2IX40
121,,,1WJX0
122,,,1ARX0
123,,,2HIT0
124,,,6OSR0
125,,,6OSR0
126,,,5EBM0
127,,,5EBM0
128,,,5EBM0
129,,,1GUP0
130,,,1GUP0
131,,,1GUP0
132,,,1GUP0
133,,,4LS70
134,,,4LS70
135,,,4LS70
136,,,4LS70
137,,,1OZ00
138,,,1OZ00
139,,,2QV60
140,,,2QV60
141,,,2QV60
142,,,2QV60
143,,,3S5O0
144,,,4H370
145,,,4H370
146,,,4H370
147,,,4H370
148,,,1NYM0
149,,,1NYM0
150,,,1NYM0
151,,,2FZW0
152,,,2FZW0
153,,,1KAZ0
154,,,1KAZ0
155,,,1KAZ0
156,,,5FKQ0
157,,,5FKQ0
158,,,3DEN0
159,,,3DEN0
160,,,3VF20
161,,,1MAS0
162,,,1MAS0
163,,,5EEK0
164,,,5EEK0
165,,,2CVI0
166,,,2CVI0
167,,,5YEW0
168,,,5YEW0
169,,,5YEW0
170,,,3SOG0
171,,,3SOG0
172,,,4H5J0
173,,,4H5J0
174,,,4H5J0
175,,,4H5J0
176,,,4H5J0
177,,,4H5J0
