,nofit,onefit,manyfit
0,4MTM0,2HI80,4GP30
1,5LXY0,1L0Z0,4GP30
2,5LXY0,1L0Z0,4GP30
3,2FSX0,1L0Z0,4GP30
4,1SR40,4TPY0,4GP30
5,1L0Z0,,4GP30
6,1L0Z0,,4GP30
7,3LPH0,,5T7A0
8,1W990,,5T7A0
9,4PA30,,5T7A0
10,4TPY0,,5T7A0
11,4TPY0,,5T7A0
12,4TPY0,,5T7A0
13,,,5T7A0
14,,,5IWN0
15,,,5IWN0
16,,,3LEP0
17,,,5LFT0
18,,,5LFT0
19,,,2QKI0
20,,,2QKI0
21,,,2QKI0
22,,,2QKI0
23,,,2QKI0
24,,,2QKI0
25,,,2QKI0
26,,,2QKI0
27,,,2QKI0
28,,,2QKI0
29,,,2QKI0
30,,,2QKI0
31,,,2QKI0
32,,,2QKI0
33,,,2QKI0
34,,,2QKI0
35,,,2QKI0
36,,,2QKI0
37,,,2QKI0
38,,,2QKI0
39,,,2QKI0
40,,,2QKI0
41,,,2QKI0
42,,,2QKI0
43,,,2QKI0
44,,,2QKI0
45,,,2QKI0
46,,,2QKI0
47,,,2QKI0
48,,,2QKI0
49,,,2QKI0
50,,,2QKI0
51,,,1XEQ0
52,,,1XEQ0
53,,,1XEQ0
54,,,1XEQ0
55,,,1XEQ0
56,,,1XEQ0
57,,,1XEQ0
58,,,1XEQ0
59,,,1XEQ0
60,,,1XEQ0
61,,,1XEQ0
62,,,1XEQ0
63,,,1XEQ0
64,,,1XEQ0
65,,,1XEQ0
66,,,1XEQ0
67,,,1XEQ0
68,,,1XEQ0
69,,,1XEQ0
70,,,4JYE0
71,,,4JYE0
72,,,4JYE0
73,,,4JYE0
74,,,4JYE0
75,,,4N6C0
76,,,4N6C0
77,,,4MTM0
78,,,4MTM0
79,,,4MTM0
80,,,4MTM0
81,,,4MTM0
82,,,4MTM0
83,,,4MTM0
84,,,4MTM0
85,,,4MTM0
86,,,4MTM0
87,,,4MTM0
88,,,4MTM0
89,,,4MTM0
90,,,4MTM0
91,,,4MTM0
92,,,4MTM0
93,,,4MTM0
94,,,4MTM0
95,,,4MTM0
96,,,5OPP0
97,,,1GQP0
98,,,1GQP0
99,,,1GQP0
100,,,1GQP0
101,,,1GQP0
102,,,1GQP0
103,,,3MNG0
104,,,3MNG0
105,,,3MNG0
106,,,3MNG0
107,,,3MNG0
108,,,3MNG0
109,,,3MNG0
110,,,3MNG0
111,,,6HPD0
112,,,4K4R0
113,,,4P4G0
114,,,4P4G0
115,,,4P4G0
116,,,4P4G0
117,,,4P4G0
118,,,4P4G0
119,,,4P4G0
120,,,5FKQ0
121,,,5FKQ0
122,,,2VJX0
123,,,2VJX0
124,,,2VJX0
125,,,2VJX0
126,,,2VJX0
127,,,2VJX0
128,,,2VJX0
129,,,4XY80
130,,,2WBK0
131,,,2WBK0
132,,,2WBK0
133,,,2WBK0
134,,,2WBK0
135,,,2WBK0
136,,,2WBK0
137,,,2WBK0
138,,,2WBK0
139,,,2WBK0
140,,,2WBK0
141,,,2WBK0
142,,,6JL00
143,,,4R6C0
144,,,4BWO0
145,,,4BWO0
146,,,4BWO0
147,,,4BWO0
148,,,4BWO0
149,,,4BWO0
150,,,4BWO0
151,,,4BWO0
152,,,4BWO0
153,,,4BWO0
154,,,4BWO0
155,,,4BWO0
156,,,4BWO0
157,,,2DGL0
158,,,2DGL0
159,,,2DGL0
160,,,2DGL0
161,,,2DGL0
162,,,2DGL0
163,,,2DGL0
164,,,2DGL0
165,,,2DGL0
166,,,2DGL0
167,,,2DGL0
168,,,2DGL0
169,,,2DGL0
170,,,2DGL0
171,,,2DGL0
172,,,2DGL0
173,,,2DGL0
174,,,2DGL0
175,,,2DGL0
176,,,2DGL0
177,,,2DGL0
178,,,2DGL0
179,,,2DGL0
180,,,2DGL0
181,,,3FLH0
182,,,3FPJ0
183,,,3FPJ0
184,,,3FPJ0
185,,,6DDA0
186,,,6DDA0
187,,,6DDA0
188,,,6DDA0
189,,,6DDA0
190,,,6DDA0
191,,,6DDA0
192,,,3SSK0
193,,,3SSK0
194,,,3SSK0
195,,,5SWA0
