,nofit,onefit,manyfit
0,,,1TVG0
1,,,6NBT0
2,,,6NBT0
3,,,6NBT0
4,,,6NBT0
5,,,6NBT0
6,,,6NBT0
7,,,6NBT0
8,,,6NBT0
9,,,6NBT0
10,,,6NBT0
11,,,6NBT0
12,,,6NBT0
13,,,6NBT0
14,,,2ANX0
15,,,2ANX0
16,,,2ANX0
17,,,1DKH0
18,,,1YZR0
19,,,2WJD0
20,,,2WJD0
21,,,2X6C0
22,,,2X6C0
23,,,2X6C0
24,,,2X6C0
25,,,2TCL0
26,,,2O5W0
27,,,2O5W0
28,,,2O5W0
29,,,1BIX0
30,,,1BIX0
31,,,1BIX0
32,,,1BIX0
33,,,5ZC00
34,,,5ZC00
35,,,5ZC00
36,,,5ZC00
37,,,5ZC00
38,,,5ZC00
39,,,5ZC00
40,,,5ZC00
41,,,5ZC00
42,,,5ZC00
43,,,5ZC00
44,,,5ZC00
45,,,5ZC00
46,,,5ZC00
47,,,5ZC00
48,,,5ZC00
49,,,5ZC00
50,,,5ZC00
51,,,5ZC00
52,,,5ZC00
53,,,5ZC00
54,,,5ZC00
55,,,5ZC00
56,,,5ZC00
57,,,5ZC00
58,,,5ZC00
59,,,5ZC00
60,,,5LXR0
61,,,5LXR0
62,,,5LXR0
63,,,3KLT0
64,,,3KLT0
65,,,3KLT0
66,,,4ZHH0
67,,,4ZHH0
68,,,4ZHH0
69,,,4ZHH0
70,,,4ZHH0
71,,,4ZHH0
72,,,5G3S0
73,,,5G3S0
74,,,5G3S0
75,,,5G3S0
76,,,5G3S0
77,,,5G3S0
78,,,5G3S0
79,,,5G3S0
80,,,5G3S0
81,,,5G3S0
82,,,5G3S0
83,,,1EXZ0
84,,,1EXZ0
85,,,1EXZ0
86,,,1EXZ0
87,,,5ZB80
88,,,5ZB80
89,,,5ZB80
90,,,5ZB80
91,,,5ZB80
92,,,5ZB80
93,,,5ZB80
94,,,2ANV0
95,,,2ANV0
96,,,2ANV0
97,,,6P740
