,nofit,onefit,manyfit
0,1RH70,1RH70,5OLD0
1,,1RH70,5OLD0
2,,1RH70,5OLD0
3,,1RH70,5OLD0
4,,1RH70,4YEM0
5,,,4YEM0
6,,,4YEM0
7,,,2CH80
8,,,2CH80
9,,,2CH80
10,,,2CH80
11,,,2CH80
12,,,2CH80
13,,,2CH80
14,,,2CH80
15,,,2CH80
16,,,2CH80
17,,,2CH80
18,,,2CH80
19,,,3W1I0
20,,,3W1I0
21,,,5DLB0
22,,,5DLB0
23,,,5DLB0
24,,,5DLB0
25,,,5DLB0
26,,,5DLB0
27,,,5DLB0
28,,,4QOT0
29,,,4QOT0
30,,,6GOH0
31,,,6GOH0
32,,,4JA10
33,,,4JA10
34,,,4JA10
35,,,4YEO0
36,,,4YEO0
37,,,4YEO0
38,,,5MIK0
39,,,5MIK0
40,,,5L750
41,,,5L750
42,,,2HR80
43,,,2HR80
44,,,2HR80
45,,,2HR80
46,,,2HR80
47,,,5HMJ0
48,,,4OWE0
49,,,4OWE0
50,,,4Q370
51,,,4Q370
52,,,1L4U0
53,,,6HJT0
54,,,6HJT0
55,,,6HJT0
56,,,6HJT0
57,,,4EFQ0
58,,,4EFQ0
59,,,4EFQ0
60,,,4EFQ0
61,,,4EFQ0
62,,,4EFQ0
63,,,6FHN0
64,,,6FHN0
65,,,6G5V0
66,,,6G5V0
67,,,6G5V0
68,,,6G5V0
69,,,6G5V0
70,,,6G5V0
71,,,3AZ70
72,,,3AZ70
73,,,3AZ70
74,,,3AZ70
75,,,3AZ70
76,,,2PIL0
77,,,2V1Q0
78,,,2V1Q0
79,,,3IWL0
80,,,4LL70
81,,,4LL70
82,,,4LL70
83,,,4LL70
84,,,4LL70
85,,,4LL70
86,,,3UN90
87,,,3UN90
88,,,3UN90
89,,,3UN90
90,,,2F830
91,,,2F830
92,,,5MU10
93,,,5MU10
94,,,5MU10
95,,,5MU10
96,,,5MU10
97,,,5MU10
98,,,5I5Q0
99,,,5I5Q0
100,,,5I5Q0
101,,,6MW50
102,,,6HJU0
103,,,6HJU0
104,,,6HJU0
105,,,6HJU0
106,,,3TUR0
107,,,3VTN0
108,,,4YEN0
109,,,4YEN0
110,,,5V6I0
111,,,5V6I0
112,,,5V6I0
113,,,5V6I0
114,,,3N9J0
115,,,1BIX0
116,,,2PL10
117,,,2PL10
118,,,2PL10
119,,,5ILC0
120,,,4OWC0
121,,,4OWC0
122,,,1QYY0
123,,,1QYY0
124,,,1QYY0
125,,,6GOJ0
126,,,6GOJ0
127,,,6FFL0
128,,,6FFL0
129,,,6FFL0
130,,,6FFL0
131,,,6FFL0
132,,,4PM30
133,,,4PM30
134,,,1SJ70
135,,,1SJ70
136,,,1SJ70
137,,,1SJ70
138,,,1SJ70
139,,,1SJ70
140,,,1SJ70
141,,,1Q2L0
142,,,1Q2L0
143,,,1Q2L0
144,,,1Q2L0
145,,,1Q2L0
146,,,1Q2L0
147,,,4GCF0
148,,,4GCF0
149,,,1XC30
150,,,1XC30
151,,,2HUX0
152,,,1EU80
153,,,1EU80
154,,,1EU80
155,,,1NNW0
156,,,1NNW0
157,,,1NNW0
158,,,1NNW0
159,,,4PKE0
160,,,4PKE0
161,,,4PKE0
162,,,4PKE0
163,,,4PKE0
164,,,3N320
165,,,3N320
166,,,3N320
167,,,5ILF0
168,,,6NJW0
169,,,5T7L0
170,,,5T7L0
171,,,4OMB0
172,,,4OMB0
173,,,4OMB0
174,,,4OMB0
175,,,1UAS0
176,,,1MOX0
177,,,1MOX0
178,,,1MOX0
179,,,1MOX0
180,,,1MOX0
