,nofit,onefit,manyfit
0,5I870,3LE10,1CFZ0
1,5I870,,1CFZ0
2,5I870,,1CFZ0
3,5I870,,1CFZ0
4,5I870,,1CFZ0
5,5K2F0,,1CFZ0
6,3V5S0,,4QI50
7,1FE10,,4QI50
8,1FE10,,3VQ60
9,1ILX0,,3VQ60
10,1ILX0,,3VQ60
11,,,3VQ60
12,,,1DMC0
13,,,1DMC0
14,,,1DMC0
15,,,1Q8A0
16,,,1Q8A0
17,,,2FFX0
18,,,2FFX0
19,,,2FFX0
20,,,2FFX0
21,,,2FFX0
22,,,2FFX0
23,,,2FFX0
24,,,2FFX0
25,,,2FFX0
26,,,2FFX0
27,,,2FFX0
28,,,2FFX0
29,,,2FFX0
30,,,2FFX0
31,,,1I0D0
32,,,1I0D0
33,,,1J5L0
34,,,1J5L0
35,,,1J5L0
36,,,4XDQ0
37,,,2GYD0
38,,,2GYD0
39,,,2GYD0
40,,,2GYD0
41,,,2GYD0
42,,,2GYD0
43,,,2GYD0
44,,,3AF80
45,,,3AF80
46,,,3AF80
47,,,1Q7Z0
48,,,1Q7Z0
49,,,5MYY0
50,,,5MYY0
51,,,5MYY0
52,,,5MYY0
53,,,5MYY0
54,,,5MYY0
55,,,5MYY0
56,,,5MYY0
57,,,5MYY0
58,,,5MYY0
59,,,5CWY0
60,,,5CWY0
61,,,5CWY0
62,,,5T0R0
63,,,6P9C0
64,,,6P9C0
65,,,3WVU0
66,,,3WVU0
67,,,3WVU0
68,,,5ZI80
69,,,5ZI80
70,,,1F480
71,,,1F480
72,,,1F480
73,,,1F480
74,,,1F480
75,,,1F480
76,,,3PNR0
77,,,3PNR0
78,,,3X1X0
79,,,1Z980
80,,,1Z980
81,,,2LK614
82,,,2LK614
83,,,2LK64
84,,,2LK64
85,,,2LK615
86,,,2LK615
87,,,2LK616
88,,,2LK616
89,,,2LK617
90,,,2LK617
91,,,2LK65
92,,,2LK65
93,,,2LK66
94,,,2LK66
95,,,2LK67
96,,,2LK67
97,,,2LK68
98,,,2LK68
99,,,2LK69
100,,,2LK69
101,,,2LK610
102,,,2LK610
103,,,2LK60
104,,,2LK60
105,,,2LK611
106,,,2LK611
107,,,2LK61
108,,,2LK61
109,,,2LK612
110,,,2LK612
111,,,2LK62
112,,,2LK62
113,,,2LK613
114,,,2LK613
115,,,2LK63
116,,,2LK63
117,,,1M0J5
118,,,1M0J5
119,,,1M0J5
120,,,1M0J6
121,,,1M0J6
122,,,1M0J6
123,,,1M0J7
124,,,1M0J7
125,,,1M0J7
126,,,1M0J8
127,,,1M0J8
128,,,1M0J8
129,,,1M0J9
130,,,1M0J9
131,,,1M0J9
132,,,1M0J10
133,,,1M0J10
134,,,1M0J10
135,,,1M0J11
136,,,1M0J11
137,,,1M0J11
138,,,1M0J12
139,,,1M0J12
140,,,1M0J12
141,,,1M0J13
142,,,1M0J13
143,,,1M0J13
144,,,1M0J14
145,,,1M0J14
146,,,1M0J14
147,,,1M0J15
148,,,1M0J15
149,,,1M0J15
150,,,1M0J16
151,,,1M0J16
152,,,1M0J16
153,,,1M0J17
154,,,1M0J17
155,,,1M0J17
156,,,1M0J18
157,,,1M0J18
158,,,1M0J18
159,,,1M0J19
160,,,1M0J19
161,,,1M0J19
162,,,1M0J0
163,,,1M0J0
164,,,1M0J0
165,,,1M0J1
166,,,1M0J1
167,,,1M0J1
168,,,1M0J2
169,,,1M0J2
