,nofit,onefit,manyfit
0,5J4Z0,4JFN0,1JER0
1,5GPN0,,3CG80
2,5GPN0,,3CG80
3,5GPN0,,3CG80
4,1NDS0,,3CG80
5,1NDS0,,3CG80
6,1NDS0,,3CG80
7,1NDS0,,3CG80
8,1NDS0,,3CG80
9,1NDS0,,3CG80
10,2YGI0,,3CG80
11,2YGI0,,3CG80
12,2YGI0,,3CG80
13,2YGI0,,1IVU0
14,2YGJ0,,1IVU0
15,1NDR0,,2TRX0
16,1NDR0,,2TRX0
17,1NDR0,,1W8E0
18,1NDR0,,1W8E0
19,1NDR0,,1W8E0
20,1NDR0,,1W8E0
21,2XJH0,,1OE20
22,2XJH0,,1OE20
23,5J7Y0,,1D6U0
24,2XJI0,,1D6U0
25,2XJI0,,2PPF0
26,2XJI0,,2PPF0
27,2XJI0,,2PPF0
28,2XJI0,,3PGB0
29,2XJI0,,6I3J0
30,,,6I3J0
31,,,6I3J0
32,,,6I3J0
33,,,6I3J0
34,,,6I3J0
35,,,6I3J0
36,,,6I3J0
37,,,1LCF0
38,,,1LCF0
39,,,6P1E0
40,,,6P1E0
41,,,4GYB0
42,,,4GYB0
43,,,4GYB0
44,,,4GYB0
45,,,3NXZ0
46,,,4YZW0
47,,,4YZW0
48,,,4YZW0
49,,,4YZW0
50,,,2PPA0
51,,,2PPA0
52,,,2PPA0
53,,,3MK70
54,,,3MK70
55,,,3MK70
56,,,3MK70
57,,,6QWG0
58,,,6QWG0
59,,,6RGP0
60,,,6RGP0
61,,,6RGP0
62,,,6RGP0
63,,,4YEA0
64,,,5ZCP0
65,,,5ZCP0
66,,,3SB90
67,,,3G5W0
68,,,3G5W0
69,,,3G5W0
70,,,3G5W0
71,,,3G5W0
72,,,3G5W0
73,,,2WSD0
74,,,2WSD0
75,,,2WSD0
76,,,2WSD0
77,,,3CWY0
78,,,2BT30
79,,,2Z7Y0
80,,,2Z7Y0
81,,,5OF60
82,,,5OF60
83,,,3S8G0
84,,,2BZ70
85,,,4A7G0
86,,,4A7G0
87,,,5I6P0
88,,,5I6P0
89,,,1ID20
90,,,1ID20
91,,,1ID20
92,,,2AFN0
93,,,2AFN0
94,,,2AFN0
95,,,2AFN0
96,,,2AFN0
97,,,2AFN0
98,,,5OFD0
99,,,5OFD0
100,,,1WA10
101,,,1WA10
102,,,3JTB0
103,,,3JTB0
104,,,3JTB0
105,,,3JTB0
106,,,2TSA0
107,,,2TSA0
108,,,2TSA0
109,,,2TSA0
110,,,2XYB0
111,,,2XYB0
112,,,2XYB0
113,,,2XYB0
114,,,5ZRE0
115,,,5ZRE0
116,,,5ZRE0
117,,,5ZRE0
118,,,5ZRE0
119,,,5ZRE0
120,,,3OMI0
121,,,3OMI0
122,,,3OMI0
123,,,3OMI0
124,,,5TKG0
125,,,5TKG0
126,,,2FT60
127,,,5FTZ0
128,,,5FTZ0
129,,,1IBG0
130,,,3ALA0
131,,,3ALA0
132,,,3ALA0
133,,,3ALA0
134,,,3ALA0
135,,,3ALA0
136,,,3ALA0
137,,,5N4L0
138,,,5N4L0
139,,,5N4L0
140,,,5N4L0
141,,,5N4L0
142,,,5N4L0
143,,,5N4L0
144,,,5N4L0
145,,,5N4L0
146,,,5N4L0
147,,,5N4L0
148,,,3U520
149,,,3U520
150,,,4A2G0
151,,,4A2G0
152,,,3X1N0
153,,,3X1N0
154,,,3X1N0
155,,,3GYR0
156,,,3GYR0
157,,,3GYR0
158,,,3GYR0
159,,,3GYR0
160,,,3GYR0
161,,,3GYR0
162,,,3GYR0
163,,,3GYR0
164,,,3GYR0
165,,,3GYR0
166,,,3GYR0
167,,,3GYR0
168,,,3GYR0
169,,,3GYR0
170,,,3GYR0
171,,,3GYR0
172,,,3GYR0
173,,,3GYR0
174,,,3GYR0
175,,,3GYR0
176,,,3GYR0
177,,,3GYR0
178,,,3GYR0
179,,,3GYR0
180,,,3GYR0
181,,,3GYR0
