,nofit,onefit,manyfit
0,,,5LVH0
1,,,3WVU0
2,,,3WVU0
3,,,5KJ90
4,,,5L8D0
5,,,4W960
6,,,4W960
7,,,4W960
8,,,4W960
9,,,4W960
10,,,4W960
11,,,4W960
12,,,4W960
13,,,4J1B0
14,,,5LVG0
15,,,6FTV0
16,,,4W940
17,,,4W940
18,,,4W940
19,,,4W940
20,,,4W940
21,,,4W940
22,,,5TOY0
23,,,5WTD0
24,,,3W6A0
25,,,3WVW0
26,,,3WVW0
27,,,5TOP0
28,,,5TOP0
29,,,5TOP0
30,,,3O7S0
31,,,3O7S0
32,,,3O7S0
33,,,2XJW0
34,,,2XJW0
35,,,2XJW0
36,,,5LVJ0
37,,,4NY50
38,,,4NY50
39,,,4UWU0
40,,,4UWU0
41,,,4UWU0
42,,,4UWU0
43,,,4UWU0
44,,,4UWU0
45,,,4UWU0
46,,,3O7R0
47,,,3O7R0
48,,,3M1J0
49,,,4UWN0
50,,,4UWN0
51,,,4UWN0
52,,,4UWN0
53,,,5X5P0
54,,,5X5P0
55,,,5X5P0
56,,,5X5P0
57,,,3FXS0
58,,,4J1A0
59,,,5OB70
60,,,3WVV0
61,,,3WVV0
62,,,3WVV0
63,,,3WVV0
64,,,4UWV0
65,,,4UWV0
66,,,4UWV0
67,,,5MWU0
68,,,5VLE0
69,,,5LVI0
70,,,6BO20
71,,,5LVK0
72,,,5LVK0
